block_order,phase,slug,title,level,text,image_hint
1,survival,block-001-necessidade-b-sica-verbo-want,Necessidade Básica (Verbo: Want),1,I want.,Alguém apontando para si e para algo
1,survival,block-001-necessidade-b-sica-verbo-want,Necessidade Básica (Verbo: Want),2,I want water.,A pessoa com um copo d'água
1,survival,block-001-necessidade-b-sica-verbo-want,Necessidade Básica (Verbo: Want),3,I want water now.,Relógio indicando o momento atual
2,survival,block-002-a-o-de-movimento-verbo-go,Ação de Movimento (Verbo: Go),1,I go.,Pessoa caminhando
2,survival,block-002-a-o-de-movimento-verbo-go,Ação de Movimento (Verbo: Go),2,I go home.,Pessoa chegando em uma casa
2,survival,block-002-a-o-de-movimento-verbo-go,Ação de Movimento (Verbo: Go),3,I go home with my friend.,Duas pessoas caminhando para a casa
3,survival,block-003-capacidade-verbo-can-do,Capacidade (Verbo: Can/Do),1,I can.,"Alguém fazendo sinal de ""positivo"" ou força"
3,survival,block-003-capacidade-verbo-can-do,Capacidade (Verbo: Can/Do),2,I can do this.,Alguém completando uma tarefa simples
3,survival,block-003-capacidade-verbo-can-do,Capacidade (Verbo: Can/Do),3,I can do this today.,Calendário com o dia de hoje marcado
4,survival,block-004-percep-o-verbo-see,Percepção (Verbo: See),1,I see.,Olhos abertos ou alguém olhando
4,survival,block-004-percep-o-verbo-see,Percepção (Verbo: See),2,I see the car.,Um carro na rua
4,survival,block-004-percep-o-verbo-see,Percepção (Verbo: See),3,I see the car but it is far.,Carro pequeno ao fundo na estrada
5,survival,block-005-posse-estado-verbo-have,Posse/Estado (Verbo: Have),1,I have.,Mãos segurando algo
5,survival,block-005-posse-estado-verbo-have,Posse/Estado (Verbo: Have),2,I have a book.,Alguém com um livro
5,survival,block-005-posse-estado-verbo-have,Posse/Estado (Verbo: Have),3,I have a book and I read.,Pessoa lendo o livro
6,survival,block-006-comunica-o-verbo-say,Comunicação (Verbo: Say),1,You say.,Alguém falando/balão de fala
6,survival,block-006-comunica-o-verbo-say,Comunicação (Verbo: Say),2,"You say ""hello"".",Aceno de mão e a palavra escrita
6,survival,block-006-comunica-o-verbo-say,Comunicação (Verbo: Say),3,"You say ""hello"" because you are good.",Sorriso e sinal de amizade
7,survival,block-007-cogni-o-verbo-know,Cognição (Verbo: Know),1,I know.,Lâmpada acesa sobre a cabeça
7,survival,block-007-cogni-o-verbo-know,Cognição (Verbo: Know),2,I know your name.,Crachá ou alguém se apresentando
7,survival,block-007-cogni-o-verbo-know,Cognição (Verbo: Know),3,I know your name because we are friends.,Duas pessoas abraçadas
8,survival,block-008-localiza-o-verbo-be,Localização (Verbo: Be),1,She is.,Uma mulher
8,survival,block-008-localiza-o-verbo-be,Localização (Verbo: Be),2,She is here.,"Ela em um local específico marcado com ""X"""
8,survival,block-008-localiza-o-verbo-be,Localização (Verbo: Be),3,She is here at work.,Ela em um escritório/mesa
9,survival,block-009-pensamento-verbo-think,Pensamento (Verbo: Think),1,We think.,Grupo de pessoas com a mão no queixo
9,survival,block-009-pensamento-verbo-think,Pensamento (Verbo: Think),2,We think about food.,Balão de pensamento com um prato de comida
9,survival,block-009-pensamento-verbo-think,Pensamento (Verbo: Think),3,We think about food if we are hungry.,Pessoa com a mão na barriga vazia
10,survival,block-010-inten-o-futuro-verbo-will-make,Intenção/Futuro (Verbo: Will/Make),1,They will.,Grupo apontando para o futuro
10,survival,block-010-inten-o-futuro-verbo-will-make,Intenção/Futuro (Verbo: Will/Make),2,They will make it.,Grupo construindo algo ou vencendo
10,survival,block-010-inten-o-futuro-verbo-will-make,Intenção/Futuro (Verbo: Will/Make),3,They will make it tomorrow.,Sol nascendo no horizonte
11,survival,block-011-o-verbo-de-movimento-reversivo-come,O Verbo de Movimento Reversivo (Come),1,You come.,"Alguém fazendo sinal de ""venha"""
11,survival,block-011-o-verbo-de-movimento-reversivo-come,O Verbo de Movimento Reversivo (Come),2,You come here.,Uma seta apontando para o chão onde o falante está
11,survival,block-011-o-verbo-de-movimento-reversivo-come,O Verbo de Movimento Reversivo (Come),3,You come here every day.,Um calendário com todos os dias marcados
12,survival,block-012-a-o-de-pegar-levar-take,Ação de Pegar/Levar (Take),1,I take.,Uma mão pegando uma chave
12,survival,block-012-a-o-de-pegar-levar-take,Ação de Pegar/Levar (Take),2,I take the car.,Alguém entrando no carro ou segurando a chave do carro
12,survival,block-012-a-o-de-pegar-levar-take,Ação de Pegar/Levar (Take),3,I take the car to work.,O carro em frente a um prédio de escritórios
13,survival,block-013-tempo-e-exist-ncia-time-is,Tempo e Existência (Time/Is),1,It is.,Um relógio ou um conceito neutro
13,survival,block-013-tempo-e-exist-ncia-time-is,Tempo e Existência (Time/Is),2,It is time.,O relógio marcando a hora de um compromisso
13,survival,block-013-tempo-e-exist-ncia-time-is,Tempo e Existência (Time/Is),3,It is time to speak.,Alguém com um microfone ou em uma reunião
14,survival,block-014-o-verbo-de-dar-give,O Verbo de Dar (Give),1,Give me.,Uma mão aberta esperando algo
14,survival,block-014-o-verbo-de-dar-give,O Verbo de Dar (Give),2,Give me the money.,Alguém entregando uma nota ou moeda
14,survival,block-014-o-verbo-de-dar-give,O Verbo de Dar (Give),3,Give me the money for the food.,Uma nota de dinheiro ao lado de um prato de comida
15,survival,block-015-pensamento-e-d-vida-ask-if,Pensamento e Dúvida (Ask/If),1,I ask.,Alguém levantando a mão na sala de aula
15,survival,block-015-pensamento-e-d-vida-ask-if,Pensamento e Dúvida (Ask/If),2,I ask why.,Um ponto de interrogação acima da cabeça
15,survival,block-015-pensamento-e-d-vida-ask-if,Pensamento e Dúvida (Ask/If),3,I ask why if I don't know.,"Pessoa dando de ombros, sem entender"
16,survival,block-016-localiza-o-relativa-under-on,Localização Relativa (Under/On),1,It is here.,Um objeto em cima de uma mesa
16,survival,block-016-localiza-o-relativa-under-on,Localização Relativa (Under/On),2,It is on the table.,Zoom no objeto em cima da mesa
16,survival,block-016-localiza-o-relativa-under-on,Localização Relativa (Under/On),3,It is not under the table.,"A mesma mesa, mas mostrando o espaço vazio embaixo dela"
17,survival,block-017-o-verbo-de-ouvir-listen-about,O Verbo de Ouvir (Listen/About),1,We listen.,Grupo de pessoas com a mão no ouvido
17,survival,block-017-o-verbo-de-ouvir-listen-about,O Verbo de Ouvir (Listen/About),2,We listen to you.,O grupo olhando para uma pessoa que fala
17,survival,block-017-o-verbo-de-ouvir-listen-about,O Verbo de Ouvir (Listen/About),3,We listen to you about the problem.,O grupo com feição de preocupação ouvindo a explicação
18,survival,block-018-frequ-ncia-e-a-o-often-use,Frequência e Ação (Often/Use),1,I use.,Alguém usando um celular ou ferramenta
18,survival,block-018-frequ-ncia-e-a-o-often-use,Frequência e Ação (Often/Use),2,I use the phone.,Alguém digitando no celular
18,survival,block-018-frequ-ncia-e-a-o-often-use,Frequência e Ação (Often/Use),3,I use the phone often.,Vários ícones de relógio ao redor do celular
19,survival,block-019-condi-o-e-sentimento-feel-but,Condição e Sentimento (Feel/But),1,I feel.,Alguém com a mão no coração
19,survival,block-019-condi-o-e-sentimento-feel-but,Condição e Sentimento (Feel/But),2,I feel good.,Alguém sorrindo e feliz
19,survival,block-019-condi-o-e-sentimento-feel-but,Condição e Sentimento (Feel/But),3,I feel good but I am tired.,"Alguém sorrindo, mas bocejando/com sono"
20,survival,block-020-finaliza-o-e-resultado-find-way,Finalização e Resultado (Find/Way),1,They find.,Alguém encontrando um tesouro ou uma chave perdida
20,survival,block-020-finaliza-o-e-resultado-find-way,Finalização e Resultado (Find/Way),2,They find the way.,Alguém olhando um mapa ou bússola
20,survival,block-020-finaliza-o-e-resultado-find-way,Finalização e Resultado (Find/Way),3,They find the way through the city.,Uma linha traçada cruzando o mapa de uma cidade
21,survival,block-021-inten-o-e-ajuda-verbo-help-need,Intenção e Ajuda (Verbo: Help / Need),1,I help.,Alguém estendendo a mão
21,survival,block-021-inten-o-e-ajuda-verbo-help-need,Intenção e Ajuda (Verbo: Help / Need),2,I help my family.,Pessoa ajudando um idoso ou criança
21,survival,block-021-inten-o-e-ajuda-verbo-help-need,Intenção e Ajuda (Verbo: Help / Need),3,I help my family because they need me.,Grupo familiar unido
22,survival,block-022-movimento-e-destino-verbo-run-to,Movimento e Destino (Verbo: Run / To),1,He runs.,Um homem correndo
22,survival,block-022-movimento-e-destino-verbo-run-to,Movimento e Destino (Verbo: Run / To),2,He runs to the school.,Homem correndo em direção a um prédio escolar
